text,target,emotion
us need band together apart nevertrump promotes hatred fuels fear,0,anger
bain life drive cash point shop change pound coins gym bastard sunbed grim,0,anger
clearly appreciate sub-harmonics -one,1,joy
honestly know i'm unhappy time want stop itnevergoes,3,sadness
sleep cooties ni close eyes dream i'm awake weary sleepissues narcolepsy,3,sadness
user rap reminds kids small would prepare performance cute crap,1,joy
user bts' trilogy mv time fav quite gloomy beautiful well,1,joy
user interesting choice words confirming governments fund terrorism bit open door still,0,anger
user user heart goes woman indignity sitting,3,sadness
i'm lost moment without i'm lost world world moment lostinthemoment,1,joy
united fan boys cover eyes horror,0,anger
user listen someone tie like,0,anger
amazon's primeday debut india disappointing maybe next year get better glad finally though,0,anger
wow know jocelyn alice judging rendition oh canada i'll never buy music allstargame awful,0,anger
feels grim nails done,3,sadness
user user inexplicably well paid talking head lectures impenetrable consultu-speak dire,0,anger
can't sleep maybe worry maybe need chang pillow maybe,3,sadness
afraid one one scares funk y'all thought image one mans army ',0,anger
anybody know good place book show montreal short super-short notice punkrock postpunk blues,2,optimism
today feel like exposed wire dangerously close another exposed wire provocation fry,0,anger
undifferentiated otherwise patent closest patron braininess ideas incense offensive lineman whyanewg,0,anger
really hate mel sue think they're hilarious they're awful,0,anger
treat someone like king queen like they're center universe still shit lol n n mood pessimist,3,sadness
going reports sky stoke played ok tonight think i'll stay messageboard tonight though -it grim,3,sadness
user stomach growl woke huh,0,anger
africa unique tremendous problems war overpopulation starvation tribalism makes moving africa forward hard,3,sadness
user hi bby today okay e-mailed design firms internship i'm nervous u how's day,1,joy
bloody parking ticket fuming,0,anger
quinn's short hair makes sad,3,sadness
user user hope come yay u central accom list plse lone gal trying avoid taxis history joy,1,joy
user user worry narendra modi manmohan singh,2,optimism
nigga even look real family sad,3,sadness
user i've still trying sort suppose also high expectations sadness,3,sadness
user user ha yes- look despair,3,sadness
goksfillyourhouseforfree retitled fill house old trash repainted junk trash,0,anger
feel like i'm downcast,3,sadness
love dog playful really scratched face flailing paws excitement almost tore nose ring,1,joy
i'm done piano blues playing smooth talking ass nexttt,0,anger
user user user trump says refugee situation 'is terrorism quality life ' take note,0,anger
hate guys cant control anger,0,anger
eat end term chocolates bought well fuming doesntdeservethem mightbedead,0,anger
user i'm wearing black tomorrow mourn,3,sadness
puppy adoptions happy pics please share exposure put word good adopter prospects,1,joy
user user user hooked backward recommended smoke,0,anger
user gliese smile,1,joy
hell hath fury like bureaucrat scorned milton friedman,0,anger
i'll happily rude people personally insult unprovoked deserve good people deserve respect,0,anger
user bloody right,0,anger
user would great card crashes happened twice,3,sadness
user miss gale i'd really really appreciate follow back i'm one biggest fans,1,joy
banger sit reason great doings alias rejoice kzfqr,1,joy
sad moment u hand exam knowing u failed grieve eating sleeping,3,sadness
user glad hear kara hesitate get touch need cheryl,1,joy
resentment rlly shit,0,anger
user user yes also wrote cause friend getting nervous hope get want gt lt,2,optimism
moment feel meaningless feeling like cant anything right foreveralone,3,sadness
lying pool john ice cream drinks degrees listening busted bliss,1,joy
user haunt dreams user,3,sadness
user user user dis dat nigga fume right,0,anger
user knew going would definitely buy live texas can't play dfs depress,3,sadness
know what's worse new pizza hut commercials pizza pizza hut makes horrible,0,anger
user watch memes amp statements designed make feel outrage give anything situation,0,anger
find sadness graham's lyrics,3,sadness
uber driver tried amp he'll feel wrath,0,anger
user look shook afraid shook impeach youaregoingdown,0,anger
watch amazing live ly broadcast user musically,1,joy
sensitive someone put place awe shutthefuckup,0,anger
optimist proclaims live best possible worlds pessimist fears true james branch cabell,2,optimism
user one law suspicion soldier something wrong held accountable,0,anger
catering channel's height technics hearty enjoyment symptomatize vrlfeyrn,1,joy
fogo max pessimism bottom yet solid pe ratio restaurant let's catch level level comes,1,joy
user first second willtnt music ears shaking missedyou,3,sadness
know terrible stuff,0,anger
one parking sensors still manages reverse things,3,sadness
user little twitter saga lately tea thing horrific plus never fresh milk put,0,anger
listening user work slice sunshine dreary cube world life,1,joy
today afghanistan tell us terrorism planned whaaaooo unga,0,anger
----- phobia irrational fear aversion something synonyms dread horror terror dislike distaste aversion crime,0,anger
tears eyes dry i'm burning like wire lightbulb,0,anger
join user put phone talk rude taking money acc willynilly,0,anger
user worry emphasis 'keeping family together' guiding principle due experiences,2,optimism
fact sometimes get furious people wrong get furious fool,0,anger
ooh hygge candles jasmine tea amp gbbo,1,joy
know i'm like whenever see smile feel happiness he's around,1,joy
overwhelming sadness shall pass lonley startingover,3,sadness
scared press send bgoodthepoet prayforme thisisagoddream career help heart heartracing,2,optimism
user that's call gameface gameface intimidate,0,anger
user lmao 'so slutty' hater girl video hilarious,1,joy
'the happiest moments life actually spent laughing smiling whole time many people around ' n jonaxxbbtwkab,1,joy
user mannerisms hilarious,1,joy
user nope outrage,0,anger
india react uri attack revenge,0,anger
someone kik montanashay n kikme,0,anger
got much fan's y'all vixx keep smiling,1,joy
fear missions still hold busy looking opportunities cannot see anything else matthew -,2,optimism
user whats sad adults continue afterwards,3,sadness
living life relentless,3,sadness
terrible person viscerally negative reaction big bird's new voice sesame street shudder nope,3,sadness
user user user need time grieve,3,sadness
furious fuck,0,anger
fed smiling old people getting dirty looks return go fuck mildred miserable prick,0,anger
user bitter bad experiences years ago time let lie user forever,2,optimism
turkish exhilaration shade irruptive russian visitors twelvemonth gobbler nephalism,1,joy
never fear want business man qualifies well calling never fails employment,2,optimism
user user i'm let know sober,2,optimism
user website making feel violent rage upgrade options helping either aaaaarrrrgghhh iwanttocancel,0,anger
making dark darker shining light jesus dark n jesus light shine,2,optimism
saw lil homie user rage cam roids thing late 's come back i'm lost,0,anger
people shady a'f,0,anger
anyways stan astro i'm goijng sleep bc stayed night lvoe taylor yoongi bye,1,joy
user happy birthday love hope best day i'm glad met,1,joy
got hours go back work cantsleep excited nervous,1,joy
season glee,1,joy
bloke train who's obviously trying provoke west ham fans loudly slagging stadium mate phone,0,anger
hey white people offended people refer cock asian noseriously,0,anger
user user i'd rather leave child user shudder,3,sadness
seriously smack someone face arsehole,0,anger
user sorry i'm angry drone flew away,0,anger
user i'm shy irl lately feel like everyone's thing fit anywhere feel lonely,3,sadness
user user fourth visit row wow amazing ever can't believe can't go whatpart brilliant,1,joy
hope comes back haunt maybe would know felt like lowest,0,anger
user user candy corn greatest candy world comes objectively terrible,0,anger
user growl like dog see lifts gives space,0,anger
go back weeks start seriously dreadful,3,sadness
user horror stories like make greatful,1,joy
wrath one kill laughter friedrich nietzsche friedrichnietzsche,1,joy
u expect love something makes unhappy,3,sadness
annoyed user bullying download app eats phone memory seek alternative tripadvisor,0,anger
user user fingers fury,0,anger
joined pottermore sorted hufflepuff fuming,0,anger
mom cut phone i'm furious,0,anger
attitude toward struggles equally important actions work,2,optimism
help help irritated thisisntmyjob,0,anger
user i'd say outrage really faux outrage,0,anger
inha's seol's banter rly fun read im awe seol willing deal tho,1,joy
jimmy dore raisingtheboss we've already lost country government oligarchs fear tactics still work appears,3,sadness
wanna kill destroy want died want back emo scene fuck die hatered,0,anger
- blood mucus chokes swallow mirth cut short 'wrong answer ' takes awkward movements - user,0,anger
hate im singing idiot thinks join like fcking glee meanrikonabot,0,anger
new kask aero helmet grim especially yellow looks like safety hard hat tdf healthandsafety,3,sadness
user hope refuse x depressing,3,sadness
user wonderful day ian,1,joy
user little details life build things could affect negatively eventually make unhappy lonely,3,sadness
user greater wrath woman scorned,0,anger
user guts go sunk face sand,0,anger
please comments tweeters look charts adorable snap,1,joy
medicine burning,3,sadness
watch amazing live ly broadcast user musically,1,joy
