label,clean_text
2,worry payment problem may never joyce meyer #motivation #leadership #worry
0,roommate okay spell autocorrect #terrible #firstworldprobs
1,cute atsu probably shy photos cherry helped uwu
0,rooneys fucking untouchable been fucking dreadful depay looked decent ish tonight
3,pretty depressing hit pan favourite highlighter
0,pussy weak heard stfu bitch you got threaten pregnant
3,making yearly transition excited hopeful college returner sick exhausted pessimist #college
1,tiller breezy collab album rapping singing prolly fire
0,broadband shocking regretting signing #angry #shouldofgonewithvirgin
0,look teef #growl
0,usa embarrassing watch when last time guys game #horrible #joke
3,#newyork several #baloch amp indian activists hold demonstrations outside headquarters demanding pak stop exporting #terror india
0,your glee filled normy dry humping recent high profile celebrity break pathetic amp wrong world today
0,what fucking muppet #stalker
0,autocorrect changes resent greatly
0,would never strategically vote someone agree lot clinton vote based fear negativity
0,haters you low self worth self righteous delusions you cower thought change change inevitable
2,saved ordering risk life panic stayed calm rescued
2,uggh really horrible you bad person stretch imagination hope person realizes
0,tamra would swung tamra nkelly piece #needstobeadmitted #bully
2,love happiness sadness feelings dependent another person
3,possible changing meds best done stress difficult tell part despair circumstantial drugs
0,also definitely still bitter yellow ranger asian asian representation hollywood essentially shrug anyway
0,the irony protesting kind stuff orwellian nightmare think fighting
0,nah way horrible
0,think becz much terror pak urself leader forgot difference btw leader terrorist
1,angel delight everything
0,puzzle investing opening portland feodal population correlative straight snorting infuriate xlzjyhg
1,believe gonna start singing snap stories tractor switch little bit
0,rage rage coming soon keep posted #youtube #youtubegaming #rage
1,why started watching glee week addicted #glee #gleek
0,jorge deserves honestly weak dayfiance
0,shit even begin describe fiery little demons straight hell
1,ditto such amazing atmosphere #philippplein #cheerleaders #stunt #londonevents #cheer
0,interview preparation hate talking one dull subject matter #yawnoff
1,manchester derby home
0,probably useful women dealing reading article woman harassed subway #concern
1,want playful relationship nme kicks couch
0,romero fucking dreadful like seriously month old better
0,taken granted misogyny air treated normal angry response pathological
3,see seen many people mourn loss surprised see tweet suppose old
3,gutted dropped one earrings sink school
1,happy birthday stephen king man responsible best horror past years whole bunch worst
2,courage always rises every attempt intimidate elizabeth bennett pride prejudice n#quotes #courage #faceyourfears
1,good day work get shake jim lehrer hand thanks still kicking shy hug
3,bored fat full ridiculously overweight rolls galore
0,flirt simper pout repeat yuck
0,trumpism likewise rests bed racial resentment made knowingly intentionally long trump got politics
0,there bpharm guy eish guy brings anger life when see nje like darkness fills know
0,tears eyes dry burning like wire lightbulb
0,nor hell fury like woman scorned william congreve
3,tried get earlier flt day turnd away bcuz late then agent let pas #silvereliteleftbehind
3,wish could someday come spain play believe going see #sad
1,val got little big hiking boots bakewell little terror #gbbo
1,bts trilogy time fav quite gloomy beautiful well
0,prudence suggests bump weeks viewed skepticism media hrc axis #angry
1,thank disney themed episode letting discover amazing #hilarious
0,need new outlet #rage
1,rewatching raising hope hubs time totally forgot hilarious #herewego
1,wow heard forever random great #sting #xph
2,may optimism tomorrow foundation today
0,nand also trying find youtube fucking nightmare
0,spent fucking hours still get dam siva fragment fellwinters peak mountain
1,happy birthday lost #lost #dharmainitiative years september #oceanic
3,#peoplelikemebecause see happy exterior hopelessness sometimes feel inside #depression #anxietyprobz
0,people speed limit irritate
1,#ff n#soul #blues amp #rock #band n#music #heart nwith soul amp #passion nxx
0,ohh comes sense terror supporting stone pelting vandalizing ppl gather protests announce
3,fav #movies #horror make like used haven seen great one years
0,like bridge divide right left twitter say new tweet truncating thing fucking awful
3,shy
0,after happened need smoke
0,joes started singing star joe got angry sing right started angrily singing back
1,remember heyday ladies range age say mid early
0,houses get instestines scare poop shit pants
0,ndo rednecks intellectually intimidate force dancing clown
3,sometimes like talk sadness other times want distracted friends laughter shopping eating n#mhchat
0,noooooo without #maryberry #awful #endofanera going #lost bought #lameduck #notallaboutthemoney
1,bright side music theory teacher pocket dabbed said know hip and walked away
0,one two ways you either get accept going change mope
3,#peoplelikemebecause see happy exterior hopelessness sometimes feel inside #depression #anxiety #anxietyprobz
1,#thisisus messed mind amp anticipating next episode #apprehension amp #delight #isthereahelplineforthis
0,god need new goal keeper they horrific
3,old age hope rest destined become deatheaters #nightmare
3,wanted green potatoes bottle tag still plus soaking wet items delivered winning today sadly
2,everybody worried stopping #terrorism well really easy way stop participating noam chomsky
3,wow almost mobile stores san diego note replacements #sadness need get mine replaced
3,worried felt safe #unhappy
0,#ahs every minutes saying nope nope gone move gtfo thank
0,nothing worse uber driver drive #awful
0,leave rule nimber carpet cleaning #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet
1,said say america really fortunate black people want equality revenge
0,know ion play shit bout weary brother
0,cmode grimrail made want eat angry bees
1,happy birthday #cheer #cheerchick #jeep #jeepgirl #idriveajeep #jeepjeep #cheer
0,assure laughter increasing anger costs arrogance westminster
0,why people even debating race inequality within justice system like non existent they trying aggravate
3,contained depression only new economic engine #sustainability say joel #vergecon #newgrandstrategy
3,huff louder
1,lol thought maybe decide levity
0,there certain hilarity people angry protests national anthem flag acts covered amendment
0,want pity instructors like understanding truly trying despite all circumstances make discouraged
1,communitysleepcoach look #narcoleptic #puppies make #smile human amp find odd positions seek #th
0,atlanta rockies dbacks that combined atrocious teams #awful
2,experience plays role education preparedness fear
0,appointment booked today waited day nobody showed also requested call back never got one #awful
3,summer officially ends today #sadness
0,seriously dude buy bubble tape phones #snap broke another phone
0,holy shit hell happened lips fix shit #mtv #teenmom #horrible
3,final vestiges childhood dashed shoals hearing house cover tracy chapman fast car dayjob
0,maybe entire russian team test positive meldonium north americans get replace
0,hey folks sorry anything offensive got posted yesterday account got hacked all fixed though hope #angry #annoyed
0,dream they trying steal kidney #blackmarket #whydidiwatchthat
3,made world #empath #unhappy
3,nervous test rip
1,ryan gosling eva mendes finally joyful funny dont boss dont argue everything kids mini car trips focus love
3,embarrassed saw like knvfkkjg thinks stalkers starts waving cheerfully inviting
3,wow one dads top favorite throwback rappers died fiery car crash today atlanta sad sad
1,wait listen new single mystery new album #newmusic #newsingle #newalbum #popmusic #dark
2,anybody know good place book show #montreal short super short notice #punkrock #postpunk #blues
2,don #afraid space #dreams #reality #dream #make
3,finally leaving first job soon working since going kind bitter sweet
0,get started town centre used every week months #horrible
3,brawndo cure depression #idiocracytoday
2,why rejoice birth grieve funeral person involved mark twain
0,dislike people get offended littlest shit
1,look adorable awe
0,new play tonight pretty much blind run only played game maybe got levels #rage #horror
0,road rage gives anxiety
1,brings back great memories hilarity #saturdaynightlive
3,god full shilling seriously need major rethink lab gove lifetime #sad
0,significantly #bitter smile let
0,trying home tonight run run that champs #sike #losers #terrible
1,many chances show looked lively good shot tipped bar end
2,need advice get rut #needmotivation
3,health think depression feel like
1,easy spot parade tiny weans expensive jammies really hilarious
3,muscled man huge heart messing brain heart #lost #confused
0,trump says refugee situation terrorism quality life take note
3,wearing black tomorrow mourn
0,hes right civil war starts wall wall terrorism fancy muzzy chances
1,laughs louder time shaking head that really cheesy
3,when gone blast gothcore music she #anxiety amp listen around bcuz spooky sigh #momlife
1,glee
2,gloriosa bazigaga #rwanda work lost relatives genocide yrs peacebuilding given optimism within power
3,#mhchat childhood experiences inform adult relationships associative memories not question ability process
3,texans astros shut tonight houston back normal #texans #astros #sadness #losers
0,nick fury
3,dream said something really retarded twitter got like retweets #nightmare
3,get started town centre used every week months
0,scrap rage instead
2,just told wife chance would sydney teams afl grand final her response two sydney afl teams #serious
3,wow really sadden terrible
0,meet new people grow reality people desgusting fake lost cheerfulness started
3,urgent need get new job the constant gloom current one getting bit ridiculous
1,these girls playful childlike seem lovely relationships can imagine serious convos cute
1,absolutely love laurie hernandez adorable always cheerful
1,why windy glad ride bike #fear #wind
2,the point living optimist foolish enough believe best yet come peter ustinov #optimism #quote
0,quite response retaliation weiner getting revenge huma amp hillary clam digging n#allscumbags
0,pretty awful look historically
0,broken policy #blasio #trump #giuliani broken windows part pecking order #bully politics #america resist #motto
1,mate thing get excited profession mad client said opened bowels rejoicing
3,don know nervous see
0,worst going morgue positive #horrible reuters
0,one thing attacking hating worse makes like angry vengeful behavior detest
3,wow right need help getting laureliver fandom bitter comic fandom
3,shy girl
3,mmmm kinda sad hope shake school
1,every day think #house #burning always neighbor burning #toast
0,fact sometimes get furious people wrong get furious fool
0,#nothappy still #charging #fullprice #fuming #bestrides
0,everyone raging
0,sometimes get mad something minuscule try ruin somebodies life like lose job like get federal prison #anger
1,refs favor tonight
3,top bureaucrat director group formed oppose top megaproject #nlpoli never dull
1,watch amazing live broadcast #musically
3,one wants win wild card play cubs road #sadness
0,amal clooney try prosecute #bush #blair #war crimes turned world upside amp created #terrorism
0,stop presses said proposed something racist #shocking
0,nisn obrien supposed sort offensive genius
1,good morning chirpy #springequinox pensive sister #autumnequinox perfect day however expressed #thebeautyofbalance
3,think swallows swifts gone photo nights ago seen since #sad #autumn
2,told chiropractor good time long time questioned habits yet unnerved doctor
1,lady gaga fucking followed waiting day ages fucking happened shaking thank much
0,came silly clock woke happened #wasted #fuming
1,gleesome threesome
0,think get fashion police involved #shocking
3,wishing rich didnt get morning #poor #sleepy #sad #needsmoresleep
0,relentless echo chamber negative comments lots reverb typical bully behavior
1,thank follow good website cheering hassle
1,people much negativity filled inside always happy gloomy world someone like exists namjoon
1,when something makes excited terrified thrilled nervous elated amp like kicked guts need word
1,easy blow run play created seam sua burst
1,but decided bit lackadaisical getting dressed get groceries
2,optimism lose actually compromise
1,alright she said cheerfully trying make moment fun
0,might get donal sure they cork fiery dopey frank amp cult
0,ppl like irritate soul
2,least character fast furious pumped adrenaline franchise but
1,now snapchat back constant battle see get ugliest snap one another #snap survival
0,raging type properly
0,pakistan continues treat #terror matter state policy says #uriattack
2,much hair nightmare also soft guess win lose situation
1,whatever sam holding tee looks like got droop
3,one step forward two steps backward link rogerfederershop work losing hope roger federer new website #sadness
1,the pats awesome belichick awesome
0,don join put phone talk rude taking money acc willynilly
3,take numbers madden low dropped people unhappy
0,mean rioting fire starting business burning looting assholes that create #blacklivesmatter
1,hms pinafore time need mirth
3,grim despair feeling look self family hubby fought years country worked years govt
3,#coincidence when turn etc amp listen amp watch objective #captureyourmind #fear amp #depression #findgodnow
1,turkish exhilaration shade irruptive russian visitors twelvemonth gobbler nephalism
3,when weeks full mondays end #disheartened
0,history people bullied one make three posts attack #bully
3,way #london nice job electing #muslim #jihadist mayor good luck future #terror attacks #sadiqkhan
1,pull #tonight make car #shake
3,feeling #gloomy
1,day next week catch sauce watch heaviness
2,carry wayward son peace done lay weary head rest don cry #supernatural
0,cyber bully
1,found first episodes bojack incredibly funny then got less funny stayed #drama
1,page script due friday class who said could mfa thing #gradschoolproblems #someonetelltinafeytohireme
1,riggs dumb ass hell lolol #hilarious #lethalweapon
0,bully
0,india react uri attack #revenge
1,well stock finished amp listed living room moved around new editing done amp fitted visit laws #productivityatitsfinest #happy
0,outrage black children get killed crossfire blacks shooting
0,rabid dog ridden child eaten flesh one fellow limbs adults
0,watched cobblers loads season gorre pro footballler terrible
0,putin feels acceptable bomb amp kill aid workers soon may sitting table trump #armageddon #usapleasedont
0,why people gotta start much drama shoot
0,did miss fact #burkeramsey swung amp hit sister #jonbenet face golf club previously fit
3,nooooo poor blue bell #sad
2,#muslims usa ages think muslims commit #terrorism due #islam gotta mind
0,angry student racist teacher stopping class letting
2,think good already worry
0,wine drunk worst version ffs even remember seeing basshunter
1,the bounty hunter things bit lively
3,that feeling get know information scared might bad test #collegelife #nervous
1,supine piano lips parted #sixwordstory #amwriting #blues #singer
3,thanks ryan amp brad scary shit first episode don think heart make
2,always borrow money pessimist expect paid back
1,pax enjoyed #gloom
3,condolences georges family
0,snap seems problem
3,nlikewise #death #cutting #despair
0,they gonna give kkk police bitch minimum sentence wattch
3,feel like appendix purpose #depressed #alone #lonely #broken #cry #hurt #crying #life
0,#travelfail #virgin #virginaus #etihad #nightmare and also delayed #obvs
0,#tulsa police manufacture murder wonder carry burners maxlevelz
2,dehydrated exhausted stressed still blessed #optimism
0,need band together apart #nevertrump promotes hatred fuels
0,fucking dreadful live footy matches
2,nbecause distrust life argentina lot heart president worth every vote
1,she foaming lips one hips one many great lyrics
